configuration,query_id,query_text,target_category,relevant_document_count,retrieved_document_count,precision_at_5,precision_at_10,recall_at_10,f1_at_10,average_precision,reciprocal_rank,ndcg_at_10,latency_ms
bm25_spelling_expansion,Q04,company earnings profit,earn,3964,100,1.0,1.0,0.0025227043390514633,0.005032712632108707,0.02437379213180144,1.0,1.0,5.886374998226529
bm25_spelling_expansion,Q05,foreign exchange dollar market,money-fx,717,100,1.0,1.0,0.01394700139470014,0.02751031636863824,0.1139090496578359,1.0,1.0,3.720167002029484
bm25_spelling_expansion,Q06,interest rates banking,interest,478,100,1.0,0.9,0.01882845188284519,0.036885245901639344,0.13966379445214772,1.0,0.9266360779006398,3.344625001773238
bm25_spelling_expansion,Q07,coffee production exports,coffee,139,100,1.0,1.0,0.07194244604316546,0.1342281879194631,0.3844372219008692,1.0,1.0,1.7171670006064232
bm25_spelling_expansion,Q08,gold prices market,gold,124,100,0.8,0.9,0.07258064516129033,0.13432835820895522,0.4063855007071972,0.5,0.7799082337019198,3.136874998745043
bm25_spelling_expansion,Q09,wheat production exports,wheat,283,100,1.0,0.8,0.028268551236749116,0.054607508532423216,0.15171292792232408,1.0,0.8701249883466592,1.8381249974481761
bm25_spelling_expansion,Q10,corn crop production,corn,237,100,1.0,0.8,0.03375527426160337,0.06477732793522267,0.10579137376294558,1.0,0.8643145546088337,1.297708000493003
bm25_spelling_expansion,Q11,sugar production prices,sugar,162,100,1.0,1.0,0.06172839506172839,0.11627906976744184,0.279648414530606,1.0,1.0,2.34354100030032
bm25_spelling_expansion,Q12,natural gas production,nat-gas,105,100,0.6,0.8,0.0761904761904762,0.13913043478260873,0.3931108745007345,1.0,0.7951657524814091,1.3239580002846196
bm25_spelling_expansion,Q13,shipping freight vessels,ship,286,100,1.0,1.0,0.03496503496503497,0.06756756756756757,0.3063538499348955,1.0,1.0,0.5502499989233911
bm25_spelling_expansion,Q14,copper prices production,copper,65,100,1.0,0.9,0.13846153846153847,0.24,0.5125158210945049,1.0,0.9216017310213246,2.297166000062134
bm25_spelling_expansion,Q15,cocoa production exports,cocoa,73,100,1.0,0.5,0.0684931506849315,0.12048192771084336,0.20304852011869845,1.0,0.6489315753318465,1.619416998437373
bm25_spelling_expansion,Q16,cotton production exports,cotton,59,100,1.0,1.0,0.1694915254237288,0.2898550724637681,0.35631652216984105,1.0,1.0,1.6460000006190967
bm25_spelling_expansion,Q17,cofee producion,coffee,139,100,1.0,0.7,0.050359712230215826,0.09395973154362416,0.1853018192170002,1.0,0.8006937664098819,341.2808329994732
bm25_spelling_expansion,Q18,crude oil producion,crude,578,100,1.0,0.8,0.01384083044982699,0.0272108843537415,0.11466746935950876,1.0,0.8630152897016882,236.10154199923272
bm25_spelling_expansion,Q19,international trad deficit,trade,485,100,0.8,0.5,0.010309278350515464,0.020202020202020204,0.11046494813542936,1.0,0.6300426811446146,64.10624999989523
bm25_spelling_expansion,Q20,corporate aquisition takeover,acq,2369,100,1.0,1.0,0.004221190375685944,0.008406893652795294,0.03212746668191765,1.0,1.0,211.2798339985602
bm25_spelling_expansion,MEAN,,,,,0.95,0.8550000000000001,0.04508688566507864,0.08215428894199268,0.2057043621191846,0.975,0.8865238665896715,44.46896249974088
